----------------------------------------
without_budget
----------------------------------------
INST_NAME                                 SOLUTION  COLLAB  FIGHT_EXP
V2_763                                    1010      98      912
V4_763                                    2565      1221    1344
V6_763                                    7111      5479    1632
V8_763                                    10096     7780    2316
V10_763                                   12790     9781    3009
V12_763                                   16391     12809   3582
V14_763                                   22569     18423   4146
V16_763                                   25811     21398   4413
V18_763                                   32220     24633   7587
V20_763                                   37666     27526   10140
